"Period","Value"
"01-Jul-2004",158532
"01-Aug-2004",193143
"01-Sep-2004",192003
"01-Oct-2004",191852
"01-Nov-2004",212069
"01-Dec-2004",190954
"01-Jan-2005",201492
"01-Feb-2005",204751
"01-Mar-2005",201687
"01-Apr-2005",204004
"01-May-2005",203505
"01-Jun-2005",209790
"01-Jul-2005",207029
"01-Aug-2005",205775
"01-Sep-2005",185268
"01-Oct-2005",231658
"01-Nov-2005",223256
"01-Dec-2005",230804
"01-Jan-2006",216199
"01-Feb-2006",226082
"01-Mar-2006",222478
"01-Apr-2006",223175
"01-May-2006",222015
"01-Jun-2006",217995
"01-Jul-2006",219539
"01-Aug-2006",219765
"01-Sep-2006",212957
"01-Oct-2006",207845
"01-Nov-2006",202934
"01-Dec-2006",244234
"01-Jan-2007",206619
"01-Feb-2007",217702
"01-Mar-2007",216009
"01-Apr-2007",214484
"01-May-2007",220727
"01-Jun-2007",221692
"01-Jul-2007",220970
"01-Aug-2007",218900
"01-Sep-2007",227203
"01-Oct-2007",234335
"01-Nov-2007",213920
"01-Dec-2007",242770
"01-Jan-2008",207006
"01-Feb-2008",210105
"01-Mar-2008",220343
"01-Apr-2008",219377
"01-May-2008",216054
"01-Jun-2008",210741
"01-Jul-2008",209893
"01-Aug-2008",222778
"01-Sep-2008",211414
"01-Oct-2008",206147
"01-Nov-2008",204808
"01-Dec-2008",185276
"01-Jan-2009",206946
"01-Feb-2009",194848
"01-Mar-2009",198691
"01-Apr-2009",199044
"01-May-2009",200048
"01-Jun-2009",203109
"01-Jul-2009",207546
"01-Aug-2009",201784
"01-Sep-2009",206624
"01-Oct-2009",204317
"01-Nov-2009",207969
"01-Dec-2009",199582
"01-Jan-2010",200953
"01-Feb-2010",201908
"01-Mar-2010",203478
"01-Apr-2010",206464
"01-May-2010",210955
"01-Jun-2010",204893
"01-Jul-2010",207887
"01-Aug-2010",207842
"01-Sep-2010",214479
"01-Oct-2010",214464
"01-Nov-2010",221814
"01-Dec-2010",204589
"01-Jan-2011",219691
"01-Feb-2011",223673
"01-Mar-2011",213427
"01-Apr-2011",214026
"01-May-2011",186272
"01-Jun-2011",220027
"01-Jul-2011",217025
"01-Aug-2011",213321
"01-Sep-2011",212601
"01-Oct-2011",205917
"01-Nov-2011",221426
"01-Dec-2011",227574
"01-Jan-2012",185055
"01-Feb-2012",213998
"01-Mar-2012",216903
"01-Apr-2012",218032
"01-May-2012",220285
"01-Jun-2012",208584
"01-Jul-2012",208503
"01-Aug-2012",209053
"01-Sep-2012",206892
"01-Oct-2012",212844
"01-Nov-2012",202224
"01-Dec-2012",273757
"01-Jan-2013",220252
"01-Feb-2013",211673
"01-Mar-2013",216677
"01-Apr-2013",213336
"01-May-2013",206697
"01-Jun-2013",217100
"01-Jul-2013",218371
"01-Aug-2013",221731
"01-Sep-2013",212580
"01-Oct-2013",223764
"01-Nov-2013",221569
"01-Dec-2013",227500
"01-Jan-2014",210520
"01-Feb-2014",222027
"01-Mar-2014",228186
"01-Apr-2014",226108
"01-May-2014",222985
"01-Jun-2014",226331
"01-Jul-2014",222104
"01-Aug-2014",226326
"01-Sep-2014",227969
"01-Oct-2014",226874
"01-Nov-2014",221791
"01-Dec-2014",205338
"01-Jan-2015",257618
"01-Feb-2015",229218
"01-Mar-2015",229371
"01-Apr-2015",231346
"01-May-2015",224790
"01-Jun-2015",233807
"01-Jul-2015",237168
"01-Aug-2015",234164
"01-Sep-2015",239794
"01-Oct-2015",243138
"01-Nov-2015",236618
"01-Dec-2015",225626
"01-Jan-2016",261914
"01-Feb-2016",240874
"01-Mar-2016",236942
"01-Apr-2016",244292
"01-May-2016",255054
"01-Jun-2016",216278
"01-Jul-2016",260768
"01-Aug-2016",247348
"01-Sep-2016",254331
"01-Oct-2016",244737
"01-Nov-2016",252210
"01-Dec-2016",260484
"01-Jan-2017",265289
"01-Feb-2017",259601
"01-Mar-2017",261978
"01-Apr-2017",261666
"01-May-2017",261858
"01-Jun-2017",266263
"01-Jul-2017",267100
"01-Aug-2017",267790
"01-Sep-2017",259341
"01-Oct-2017",271236
"01-Nov-2017",280492
"01-Dec-2017",268456
"01-Jan-2018",298447
"01-Feb-2018",284043
"01-Mar-2018",289219
"01-Apr-2018",286241
"01-May-2018",294713
"01-Jun-2018",294371
"01-Jul-2018",291297
"01-Aug-2018",293192
"01-Sep-2018",289544
"01-Oct-2018",284486
"01-Nov-2018",288942
"01-Dec-2018",298230
"01-Jan-2019",278477
"01-Feb-2019",296038
"01-Mar-2019",300404
"01-Apr-2019",293665
"01-May-2019",289529
"01-Jun-2019",287334
"01-Jul-2019",281692
"01-Aug-2019",288026
"01-Sep-2019",289848
"01-Oct-2019",295747
"01-Nov-2019",290562
"01-Dec-2019",312764
"01-Jan-2020",282488
"01-Feb-2020",299878
"01-Mar-2020",258163
"01-Apr-2020",234362
"01-May-2020",295129
"01-Jun-2020",378508
"01-Jul-2020",558688
"01-Aug-2020",476532
"01-Sep-2020",432199
"01-Oct-2020",408164
"01-Nov-2020",391133
"01-Dec-2020",343688
"01-Jan-2021",489487
"01-Feb-2021",427296
"01-Mar-2021",450992
"01-Apr-2021",494672
"01-May-2021",498729
"01-Jun-2021",449019
"01-Jul-2021",454460
